date,min_level,avg_level,max_level
2017-03-31,0.434,0.440,0.446
2017-04-01,0.422,0.447,0.498
2017-04-02,0.438,0.469,0.504
2017-04-03,0.411,0.422,0.437
2017-04-04,0.389,0.400,0.411
2017-04-05,0.378,0.384,0.389
2017-04-06,0.372,0.375,0.378
2017-04-07,0.367,0.369,0.372
2017-04-08,0.361,0.364,0.366
2017-04-09,0.356,0.359,0.361
2017-04-10,0.346,0.350,0.355
2017-04-11,0.343,0.344,0.345
2017-04-12,0.340,0.343,0.345
2017-04-13,0.335,0.337,0.339
2017-04-14,0.334,0.336,0.338
2017-04-15,0.328,0.333,0.335
2017-04-16,0.326,0.328,0.330
2017-04-17,0.325,0.327,0.328
2017-04-18,0.321,0.322,0.325
2017-04-19,0.318,0.320,0.322
2017-04-20,0.314,0.317,0.318
2017-04-21,0.312,0.314,0.317
2017-04-22,0.312,0.314,0.317
2017-04-23,0.310,0.311,0.313
2017-04-24,0.309,0.312,0.315
2017-04-25,0.309,0.315,0.321
2017-04-26,0.312,0.314,0.317
2017-04-27,0.307,0.308,0.309
2017-04-28,0.305,0.306,0.307
2017-04-29,0.303,0.304,0.305
2017-04-30,0.300,0.302,0.304
2017-05-01,0.298,0.299,0.301
2017-05-02,0.296,0.297,0.299
2017-05-03,0.292,0.294,0.296
2017-05-04,0.290,0.291,0.292
2017-05-05,0.288,0.289,0.290
2017-05-06,0.288,0.289,0.290
2017-05-07,0.287,0.288,0.289
2017-05-08,0.284,0.286,0.288
2017-05-09,0.283,0.284,0.285
2017-05-10,0.283,0.284,0.285
2017-05-11,0.283,0.284,0.286
2017-05-12,0.281,0.283,0.283
2017-05-13,0.283,0.284,0.286
2017-05-14,0.279,0.282,0.284
2017-05-15,0.277,0.287,0.298
2017-05-16,0.289,0.291,0.295
2017-05-17,0.282,0.285,0.288
2017-05-18,0.274,0.279,0.283
2017-05-19,0.272,0.276,0.280
2017-05-20,0.278,0.293,0.315
2017-05-21,0.293,0.301,0.306
2017-05-22,0.284,0.290,0.311
2017-05-23,0.290,0.297,0.307
2017-05-24,0.283,0.286,0.290
2017-05-27,0.270,0.278,0.295
2017-05-28,0.270,0.272,0.275
2017-05-29,0.269,0.271,0.277
2017-05-30,0.271,0.274,0.276
2017-05-31,0.265,0.268,0.274
2017-06-01,0.257,0.263,0.267
2017-06-02,0.260,0.266,0.271
2017-06-03,0.262,0.265,0.268
2017-06-04,0.262,0.264,0.268
2017-06-05,0.265,0.274,0.282
2017-06-06,0.279,0.377,0.503
2017-06-07,0.426,0.474,0.547
2017-06-08,0.379,0.414,0.459
2017-06-09,0.400,0.464,0.536
2017-06-10,0.348,0.366,0.394
2017-06-11,0.336,0.342,0.346
2017-06-12,0.321,0.330,0.336
2017-06-13,0.304,0.312,0.320
2017-06-14,0.296,0.300,0.303
2017-06-15,0.282,0.293,0.300
2017-06-16,0.301,0.307,0.309
2017-06-17,0.291,0.296,0.302
2017-06-18,0.280,0.285,0.290
2017-06-19,0.264,0.275,0.282
