Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"55.715559, -2.403535",01/01/2017,42.2,36.6,38.6,27.9,,0.24,0,0,18.3,219.58,30,27.2,53.8,79.63,"Rain, Partially cloudy"
"55.715559, -2.403535",01/02/2017,39.3,32.1,35.7,24.9,,0.02,0,0,16.1,283.75,30,29.7,45.8,80.26,"Rain, Partially cloudy"
"55.715559, -2.403535",01/03/2017,46.5,36.8,43,30,,0,0,0,24.1,259.17,33.9,31.1,75.9,84.68,Overcast
"55.715559, -2.403535",01/04/2017,45.8,36.6,39.8,31.7,,0,0,0,13.8,327.08,27.7,29.9,75.6,65.51,Overcast
"55.715559, -2.403535",01/05/2017,36.6,29.9,33.2,23.9,,0,0,0,8,247.13,,30.5,75.6,80.44,Overcast
"55.715559, -2.403535",01/06/2017,46.5,32.3,42.3,29,,0.06,0,0,18.3,222.71,32.2,23.9,93.7,93.45,"Rain, Overcast"
"55.715559, -2.403535",01/07/2017,46.7,42.2,44.5,38.5,,0,0,0,8,241.79,,28.7,91.3,96.36,Overcast
"55.715559, -2.403535",01/08/2017,47.4,39.3,45.3,34.4,,0,0,0,14.9,221.25,,29.6,89.7,94.43,Overcast
"55.715559, -2.403535",01/09/2017,48.3,38.4,43.6,28.9,,0.04,0,0,28.8,224.58,39.9,26.1,69.9,87.2,"Rain, Partially cloudy"
"55.715559, -2.403535",01/10/2017,47.4,36.8,43.5,28.1,,0.03,0,0,21.9,244.58,32.9,20.1,61,82.55,"Rain, Partially cloudy"
"55.715559, -2.403535",01/11/2017,50.3,36.6,41.2,25.5,,0,0,0,35.5,262.08,55.9,23.8,37.4,73.63,Partially cloudy
"55.715559, -2.403535",01/12/2017,35.9,29,33.1,20.5,,0.01,1.56,1.56,19.4,247.92,32.6,28.5,44.2,85.09,"Snow, Partially cloudy"
"55.715559, -2.403535",01/13/2017,37.7,27.6,33.9,19.2,,0.02,0,1.31,28.8,289.58,42.7,28.5,53.5,73.08,"Rain, Partially cloudy"
"55.715559, -2.403535",01/14/2017,39.5,28.1,33.4,20.9,,0,0,0.92,13.9,257.17,16.1,29.1,43.8,80.96,Partially cloudy
"55.715559, -2.403535",01/15/2017,49.4,34.1,43.2,26.7,,0.31,0,0.52,12.7,269.58,,22.7,90.8,95.3,"Rain, Overcast"
"55.715559, -2.403535",01/16/2017,50.1,42,45.4,36.7,,0.01,0,0,9.1,235.13,,25.3,82.9,95,"Rain, Overcast"
"55.715559, -2.403535",01/17/2017,51.2,42.2,46.2,39.2,,0.05,0,0,12.7,226.29,,27.2,83.9,97.07,"Rain, Overcast"
"55.715559, -2.403535",01/18/2017,46.5,43.1,45.5,39.3,,0,0,0,13.8,227.96,24.2,28,99.3,88.39,Overcast
"55.715559, -2.403535",01/19/2017,45.8,40.4,42.7,36.3,,0,0,0,9.1,239.17,,26.6,100,88.06,Overcast
"55.715559, -2.403535",01/20/2017,41.3,36.8,38.9,32.4,,0,0,0,8,223.04,,16.8,99.6,94.67,Overcast
"55.715559, -2.403535",01/21/2017,35,28.7,32.5,25.9,,0,0,0,6.9,227.04,,3.4,79.1,98.66,Overcast
"55.715559, -2.403535",01/22/2017,37.5,34.1,35.7,28.4,,0.02,0,0,10.3,218.83,,6.9,92.1,94.61,"Rain, Overcast"
"55.715559, -2.403535",01/23/2017,41.1,31.7,37.1,24.5,,0,0,0,10.3,229.25,,8.1,75.6,88.48,Overcast
"55.715559, -2.403535",01/24/2017,48.3,36.8,44.3,32.9,,0,0,0,19.4,212.96,35.8,17.6,96.2,93.03,Overcast
"55.715559, -2.403535",01/25/2017,48.3,34.8,44.3,28.5,,0,0,0,24.1,215.42,34.5,24,73.9,84.98,Partially cloudy
"55.715559, -2.403535",01/26/2017,35.9,27.2,30.8,19.3,,0.01,0,0,11.4,161.92,,5,76.6,90.71,"Rain, Overcast"
"55.715559, -2.403535",01/27/2017,32.3,23.6,28.3,17.2,,0,0,0,6.9,214,,2.6,57.6,93.44,Partially cloudy
"55.715559, -2.403535",01/28/2017,35.9,30.3,33.8,26.7,,0.08,0,0,10.3,225.88,,8.1,85.4,97.67,"Rain, Overcast"
"55.715559, -2.403535",01/29/2017,41.3,30.3,34.4,24.3,,0.02,0,0,10.2,238,,23.1,62.7,94.13,"Rain, Partially cloudy"
"55.715559, -2.403535",01/30/2017,37.7,26.7,32.9,22.4,,0.01,0,0,10.3,186.17,20.8,14.7,61.3,97.02,"Rain, Partially cloudy"
"55.715559, -2.403535",01/31/2017,42.2,37.7,40.7,31.7,,0.08,0,0,16.1,176.71,28.9,15.4,95,93.54,"Rain, Overcast"
"55.715559, -2.403535",02/01/2017,49.4,39.5,43,35.6,,0.04,0,0,16.1,177.17,,9,75.4,96.23,"Rain, Overcast"
"55.715559, -2.403535",02/02/2017,51.2,40.4,47.4,36.3,,0,0,0,20.8,139.21,39.9,22.1,79.6,89.23,Overcast
"55.715559, -2.403535",02/03/2017,49.4,43.1,45.6,36.1,,0,0,0,25.3,157.5,42.7,21.7,70,80.29,Partially cloudy
"55.715559, -2.403535",02/04/2017,44,32.3,39,26.7,,0.1,0,0,23,183.71,33.2,24.5,59.7,89.02,"Rain, Partially cloudy"
"55.715559, -2.403535",02/05/2017,40.4,32.3,36.2,25.9,,0.01,0,0,9.2,192.13,,13.6,74.9,92.67,"Rain, Partially cloudy"
"55.715559, -2.403535",02/06/2017,41.1,27.2,34.8,24.6,,0.01,0,0,16.1,186.29,31.1,13.5,71.4,91.51,"Rain, Partially cloudy"
"55.715559, -2.403535",02/07/2017,44.9,35.9,39.2,30.1,,0.15,0,0,11.4,146.63,28.9,19.7,85.8,94.03,"Rain, Overcast"
"55.715559, -2.403535",02/08/2017,38.6,34.1,36.9,29,,0.02,0,0,11.4,102.88,,17.7,90.8,93.81,"Rain, Overcast"
"55.715559, -2.403535",02/09/2017,36.8,32.1,33.7,25.4,,0.01,0,0,11.4,72.17,31.1,26,88.8,92.36,"Rain, Overcast"
"55.715559, -2.403535",02/10/2017,35.9,31.7,33.2,23.4,,0.02,0,0,12.7,150.79,,25.2,81.2,90.73,"Rain, Overcast"
"55.715559, -2.403535",02/11/2017,38.4,33,36.8,25.8,,0.47,0,0,26.4,59.58,35.8,11.3,76.3,92.69,"Rain, Overcast"
"55.715559, -2.403535",02/12/2017,37.5,35,36.5,23.7,,0.1,0,0,21.9,64.17,36.3,18.6,89.2,84.92,"Rain, Overcast"
"55.715559, -2.403535",02/13/2017,40.4,37.7,39.3,28.8,,0.04,0,0,18.3,83.33,31.1,5.7,99.6,91.78,"Rain, Overcast"
"55.715559, -2.403535",02/14/2017,43.8,36.8,40.4,31.5,,0,0,0,18.3,122.54,,4.9,81.7,87.64,Overcast
"55.715559, -2.403535",02/15/2017,52,39.5,44.6,36.5,,0,0,0,11.4,203.67,,9.3,77.8,87.82,Overcast
"55.715559, -2.403535",02/16/2017,48.5,42.2,45.6,34.6,,0.01,0,0,20.8,232.5,33.3,23.5,73.6,85.55,"Rain, Partially cloudy"
"55.715559, -2.403535",02/17/2017,48.3,35.9,43.3,29.5,,0,0,0,12.7,237.79,,25.7,66,91.1,Partially cloudy
"55.715559, -2.403535",02/18/2017,49.2,46.7,47.9,39.6,,0.01,0,0,25.2,222.96,30.8,20.8,85.4,88.39,"Rain, Overcast"
"55.715559, -2.403535",02/19/2017,53,45.6,48.5,38.9,,0,0,0,17.2,236.71,33.3,28.1,74,85.45,Partially cloudy
"55.715559, -2.403535",02/20/2017,55.5,44.7,51,37.8,,0,0,0,24.1,250,39.9,24.3,77.1,79.16,Overcast
"55.715559, -2.403535",02/21/2017,52.1,39.3,45.4,33.1,,0,0,0,26.4,233.75,41.6,21.5,61.8,83.87,Partially cloudy
"55.715559, -2.403535",02/22/2017,46.7,38.4,42.8,32,,0.03,0,0,25.3,259.17,40.2,26.9,49.5,74.15,"Rain, Partially cloudy"
"55.715559, -2.403535",02/23/2017,38.6,34.8,36.4,23.7,,1.12,0,0,20.8,196.33,37.8,16.4,85,94.71,"Rain, Overcast"
"55.715559, -2.403535",02/24/2017,43.1,34.1,38.2,28.4,,0.02,0,0,15,240.83,31.1,27.6,70.5,86.21,"Rain, Partially cloudy"
"55.715559, -2.403535",02/25/2017,52.1,39.5,46,32.6,,0.2,0,0,33.3,233.75,43.8,24.1,80,87.98,"Rain, Overcast"
